순번,국토부 코드,정산 코드,정류장 코드,정류장명,행정구역코드,시도명,시군구명,읍면동명,유개승강장,버스안내단말기 설치유무,와이좌표,엑스좌표
142,183002284,8001379,11030,대전대학교,3011010900,대전광역시,동구,용운동,X,X,36.330701,127.460596
143,183002285,8002299,11040,용운초등학교,3011010900,대전광역시,동구,용운동,X,O,36.326873,127.461598
144,183002286,8002301,11050,용운동주민센터,3011010900,대전광역시,동구,용운동,X,X,36.328332,127.461787
145,183002287,8001617,11060,용운도서관,3011010900,대전광역시,동구,용운동,O,X,36.324984,127.46193
146,183002288,8001618,11070,용운도서관,3011010900,대전광역시,동구,용운동,X,O,36.324677,127.462199
147,183002289,8001619,11080,모리아파트,3011010900,대전광역시,동구,용운동,X,X,36.323087,127.462342
148,183002290,8002308,11090,에코포레아파트,3011010900,대전광역시,동구,용운동,X,X,36.330398,127.463133
149,183002293,8001384,11100,대전대학교,3011010900,대전광역시,동구,용운동,O,X,36.332681,127.463754
150,183002298,8002298,11110,용운국제수영장,3011010900,대전광역시,동구,용운동,O,O,36.324576,127.465158
151,183002299,8002297,11120,용운국제수영장,3011010900,대전광역시,동구,용운동,O,O,36.324546,127.465349
152,183002300,8001907,11130,새울,3011010900,대전광역시,동구,용운동,O,X,36.330775,127.465783
153,183002302,8001760,11140,에코포레아파트,3011010900,대전광역시,동구,용운동,O,O,36.328132,127.466372
154,183002301,8001908,11150,새울,3011010900,대전광역시,동구,용운동,O,X,36.330875,127.466073
155,183002303,8001761,11160,복음아파트,3011010900,대전광역시,동구,용운동,O,O,36.328499,127.46663
156,183002070,8005881,11170,대동역2번출구,3011011000,대전광역시,동구,대동,O,O,36.328765,127.441443
157,183002071,8001348,11180,대동역3번출구,3011011000,대전광역시,동구,대동,O,O,36.329062,127.441729
158,183002073,8001349,11210,대동역7번출구,3011011000,대전광역시,동구,대동,O,O,36.330284,127.443728
159,183002076,8001351,11220,펜타뷰아파트,3011011000,대전광역시,동구,대동,X,O,36.328775,127.444222
160,183002075,8001345,11230,충남중네거리,3011011000,대전광역시,동구,대동,O,O,36.327457,127.444205
161,183002077,8002344,11240,우송고등학교,3011011000,대전광역시,동구,대동,X,O,36.333043,127.445395
162,183002079,8002728,11250,충남중학교,3011011000,대전광역시,동구,대동,O,O,36.3247,127.445833
163,183002080,8002290,11260,대동초등학교,3011011000,대전광역시,동구,대동,O,O,36.325995,127.44726
164,183002081,8001352,11270,대동초등학교,3011011000,대전광역시,동구,대동,O,O,36.326203,127.447382
165,183002074,8002488,11280,자양초등학교,3011011000,대전광역시,동구,대동,X,O,36.331281,127.443906
166,183002343,8002345,11290,우송고등학교,3011011100,대전광역시,동구,자양동,O,O,36.334449,127.445848
167,183002344,8002340,11300,우송대삼거리,3011011100,대전광역시,동구,자양동,O,O,36.336017,127.447189
168,183002345,8002339,11310,우송대학교서캠퍼스,3011011100,대전광역시,동구,자양동,O,O,36.337549,127.447734
169,183002346,8002485,11320,자양동,3011011100,대전광역시,동구,자양동,X,O,36.340581,127.448623
170,183002347,8001445,11330,대주파크빌,3011011100,대전광역시,동구,자양동,X,O,36.342396,127.448793
171,183002348,8002343,11340,우송어학센터,3011011100,대전광역시,동구,자양동,O,O,36.339976,127.448995
172,183002349,8002486,11350,자양동주민센터,3011011100,대전광역시,동구,자양동,X,O,36.335639,127.449286
173,183002350,8002487,11360,자양동주민센터,3011011100,대전광역시,동구,자양동,X,O,36.335342,127.449511
174,183002351,8001548,11370,동아마이스터고,3011011100,대전광역시,동구,자양동,O,O,36.344177,127.451877
175,183002238,8002155,11380,이스트시티아파트,3011011200,대전광역시,동구,신안동,O,O,36.328053,127.439351
176,183002239,8002156,11390,대전화병원,3011011200,대전광역시,동구,신안동,O,O,36.328275,127.43936
177,183002240,8002114,11400,신안동,3011011200,대전광역시,동구,신안동,O,X,36.331712,127.44029
178,183002210,8005504,11410,대전역동광장,3011011300,대전광역시,동구,소제동,O,X,36.33353,127.437338
179,183002214,8005621,11420,대전역동광장종점,3011011300,대전광역시,동구,소제동,O,X,36.332221,127.43781
180,183002219,8001422,11420,대전역동광장,3011011300,대전광역시,동구,소제동,O,X,36.33362,127.43908
181,183002217,8005548,11430,대전역동광장,3011011300,대전광역시,동구,소제동,X,X,36.33362,127.43908
182,183002220,8002040,11450,중앙동주민센터,3011011300,대전광역시,동구,소제동,O,O,36.335582,127.438956
183,183002222,8002039,11460,중앙동주민센터,3011011300,대전광역시,동구,소제동,O,O,36.33516,127.439431
184,183002223,8002115,11470,신안동,3011011300,대전광역시,동구,소제동,O,O,36.331588,127.440708
185,183002002,8001970,11480,아침마을아파트,3011011400,대전광역시,동구,가양동,O,O,36.342255,127.4393
186,183002003,8001533,11490,동부네거리,3011011400,대전광역시,동구,가양동,O,O,36.350216,127.440482
187,183002004,8001228,11500,가양초등학교,3011011400,대전광역시,동구,가양동,O,O,36.343612,127.44161
188,183002005,8001229,11510,가양초등학교,3011011400,대전광역시,동구,가양동,O,O,36.344066,127.443185
189,183002006,8002899,11520,가양도서관,3011011400,대전광역시,동구,가양동,O,O,36.348996,127.443212
190,183002007,8002898,11530,가양도서관,3011011400,대전광역시,동구,가양동,O,O,36.348615,127.443924
191,183002008,8001035,11540,가양네거리,3011011400,대전광역시,동구,가양동,O,O,36.346531,127.444764
192,183002009,8001036,11550,가양네거리,3011011400,대전광역시,동구,가양동,O,O,36.346408,127.445333
193,183002010,8001037,11560,흥룡초등학교,3011011400,대전광역시,동구,가양동,O,O,36.344347,127.446476
194,183002011,8001040,11570,가양동우체국,3011011400,대전광역시,동구,가양동,O,O,36.346155,127.447071
195,183002012,8001034,11580,가양네거리,3011011400,대전광역시,동구,가양동,O,O,36.34603,127.447386
196,183002013,8001443,11590,대주파크빌,3011011400,대전광역시,동구,가양동,O,O,36.342636,127.448023
197,183002014,8001444,11600,대주파크빌,3011011400,대전광역시,동구,가양동,O,O,36.34312,127.449443
198,183002016,8001400,11610,대전보건대학,3011011400,대전광역시,동구,가양동,O,O,36.348354,127.450879
199,183002015,8002843,11620,평화아파트,3011011400,대전광역시,동구,가양동,O,O,36.354103,127.450839
200,183002017,8001401,11630,대전보건대학,3011011400,대전광역시,동구,가양동,O,O,36.34831,127.451158
201,183002018,8002893,11640,한국폴리텍대학,3011011400,대전광역시,동구,가양동,O,O,36.350567,127.452122
202,183002019,8002894,11650,한국폴리텍대학,3011011400,대전광역시,동구,가양동,O,O,36.350623,127.452456
203,183002020,8001547,11660,동아마이스터고,3011011400,대전광역시,동구,가양동,X,O,36.344873,127.452847
204,183002021,8001403,11670,대전보건대학,3011011400,대전광역시,동구,가양동,X,X,36.34843,127.453794
205,183002022,8001402,11680,대전보건대학,3011011400,대전광역시,동구,가양동,X,O,36.348535,127.453977
206,183002023,8001612,11690,명석고등학교,3011011400,대전광역시,동구,가양동,O,O,36.354074,127.45417
207,183002024,8002346,11700,우암사적공원,3011011400,대전광역시,동구,가양동,X,O,36.34654,127.455434
208,183002025,8002347,11710,우암사적공원,3011011400,대전광역시,동구,가양동,X,O,36.346782,127.456082
209,183002304,8002946,11720,한숲아파트,3011011500,대전광역시,동구,용전동,O,O,36.354728,127.427662
210,183002305,8002310,11730,용전네거리,3011011500,대전광역시,동구,용전동,O,O,36.349924,127.431961
211,183002306,8002316,11740,대전지방국토관리청,3011011500,대전광역시,동구,용전동,O,O,36.352241,127.432201
212,183002309,8002315,11750,용전동주민센터,3011011500,대전광역시,동구,용전동,O,O,36.358025,127.432492
213,183002308,8002311,11760,용전네거리,3011011500,대전광역시,동구,용전동,O,O,36.350034,127.432473
214,183002307,8002313,11770,용전초등학교입구,3011011500,대전광역시,동구,용전동,O,O,36.355099,127.432436
215,183002310,8002317,11780,대전지방국토관리청,3011011500,대전광역시,동구,용전동,O,O,36.352089,127.432633
216,183002311,8002312,11790,용전초등학교입구,3011011500,대전광역시,동구,용전동,O,O,36.355011,127.432927
217,183002312,8002314,11800,용전동주민센터,3011011500,대전광역시,동구,용전동,O,O,36.357228,127.433005
218,183002313,8002880,11810,한국전력공사,3011011500,대전광역시,동구,용전동,O,O,36.357193,127.434467
219,183002314,8002881,11820,한국전력공사,3011011500,대전광역시,동구,용전동,O,O,36.357523,127.434693
220,183002315,8001096,11830,복합터미널,3011011500,대전광역시,동구,용전동,O,O,36.349013,127.435667
221,183002316,8002987,11840,대전문학관입구,3011011500,대전광역시,동구,용전동,O,O,36.355102,127.43696
222,183002317,8002986,11850,대전문학관입구,3011011500,대전광역시,동구,용전동,O,O,36.355078,127.437551
223,183002319,8001921,11860,홈플러스동대전점,3011011500,대전광역시,동구,용전동,O,O,36.353367,127.439578
224,183002320,8001534,11870,동부네거리,3011011500,대전광역시,동구,용전동,O,O,36.350429,127.439679
225,183002318,8001920,11880,구샤또호텔,3011011500,대전광역시,동구,용전동,O,O,36.35286,127.439571
226,183002158,8001873,11920,삼성네거리,3011011800,대전광역시,동구,삼성동,O,O,36.338778,127.428827
227,183002184,8002994,11930,홍도지하차도,3011011600,대전광역시,동구,성남동,O,O,36.346044,127.430514
228,183002185,8002309,11940,효촌마을아파트,3011011600,대전광역시,동구,성남동,O,O,36.346276,127.432489
229,183002187,8003022,11950,효촌마을아파트,3011011600,대전광역시,동구,성남동,O,O,36.34516,127.433547
230,183002188,8001992,11960,스마트뷰아파트,3011011600,대전광역시,동구,성남동,O,O,36.343733,127.433989
231,183002189,8001994,11970,성남네거리,3011011600,대전광역시,동구,성남동,X,O,36.340421,127.435016
232,183002190,8001996,11980,성남네거리,3011011600,대전광역시,동구,성남동,O,O,36.341703,127.435597
233,183002191,8001993,11990,성남네거리,3011011600,대전광역시,동구,성남동,O,O,36.340138,127.436176
234,183002192,8001097,12010,복합터미널,3011011600,대전광역시,동구,성남동,O,O,36.349038,127.437193
235,183002194,8001038,12020,석촌마을아파트,3011011600,대전광역시,동구,성남동,O,O,36.341931,127.438024
236,183002449,8001087,12060,홍도지하보도,3011011700,대전광역시,동구,홍도동,O,X,36.347648,127.422036
237,183002448,8002988,12070,홍도지하보도,3011011700,대전광역시,동구,홍도동,O,O,36.347938,127.421605
238,183002450,8002991,12080,홍도동현암아파트,3011011700,대전광역시,동구,홍도동,X,X,36.344487,127.423757
239,183002451,8002990,12090,홍도동현암아파트,3011011700,대전광역시,동구,홍도동,X,X,36.344675,127.423778
240,183002452,8001085,12110,한남로삼거리,3011011700,대전광역시,동구,홍도동,O,O,36.351215,127.426631
241,183002453,8001086,12120,한남로삼거리,3011011700,대전광역시,동구,홍도동,X,O,36.35128,127.427417
242,183002454,8002158,12130,아리랑프라자,3011011700,대전광역시,동구,홍도동,X,O,36.348271,127.429344
243,183002455,8002993,12140,홍도지하차도,3011011700,대전광역시,동구,홍도동,O,O,36.346101,127.430138
244,183002456,8002157,12150,아리랑프라자,3011011700,대전광역시,동구,홍도동,X,O,36.347711,127.429962
245,183002140,8002972,12160,현암시장,3011011800,대전광역시,동구,삼성동,O,O,36.342078,127.415534
246,183002141,8001870,12170,삼성2동,3011011800,대전광역시,동구,삼성동,X,X,36.339812,127.416626
247,183002142,8001741,12180,현암초등학교,3011011800,대전광역시,동구,삼성동,O,O,36.341968,127.419409
248,183002144,8002971,12190,현암교,3011011800,대전광역시,동구,삼성동,O,O,36.340083,127.420073
249,183002145,8002970,12210,현암교,3011011800,대전광역시,동구,삼성동,O,O,36.33962,127.42015
250,183002147,8002621,12230,삼성동행정복지센터,3011011800,대전광역시,동구,삼성동,O,O,36.339465,127.422346
251,183002149,8002622,12240,삼성동행정복지센터,3011011800,대전광역시,동구,삼성동,X,O,36.339496,127.422579
252,183002150,8001797,12250,북부교,3011011800,대전광역시,동구,삼성동,O,O,36.33825,127.42381
253,183002151,8001796,12260,북부교,3011011800,대전광역시,동구,삼성동,O,O,36.338179,127.424182
254,183002156,8002934,12290,한밭중네거리,3011011800,대전광역시,동구,삼성동,O,O,36.336952,127.426785
